zip,city,county,pop
28345,Hamlet,Richmond,12003
27249,Gibsonville,Guilford,11882
28425,Burgaw,Pender,11833
27214,Browns Summit,Guilford,11825
27944,Hertford,Perquimans,11756
27910,Ahoskie,Hertford,11691
28516,Beaufort,Carteret,11455
27573,Roxboro,Person,11391
27958,Moyock,Currituck,11354
28103,Marshville,Union,11281
27948,Kill Devil Hills,Dare,11245
27608,Raleigh,Wake,11203
28170,Wadesboro,Anson,11187
28384,Saint Pauls,Robeson,11162
28134,Pineville,Mecklenburg,11037
28650,Maiden,Catawba,10955
27025,Madison,Rockingham,10937
27298,Liberty,Randolph,10925
28723,Cullowhee,Jackson,10918
28333,Dudley,Wayne,10902
28460,Sneads Ferry,Onslow,10845
28777,Spruce Pine,Mitchell,10717
28467,Calabash,Brunswick,10688
28610,Claremont,Catawba,10639
28621,Elkin,Surry,10637
28337,Elizabethtown,Bladen,10574
27601,Raleigh,Wake,10525
28168,Vale,Lincoln,10415
28721,Clyde,Haywood,10401
27052,Walnut Cove,Stokes,10383
28513,Ayden,Pitt,10339
28457,Rocky Point,Pender,10299
28754,Mars Hill,Madison,10290
28138,Rockwell,Rowan,10160
28340,Fairmont,Robeson,10075
28207,Charlotte,Mecklenburg,9986
27828,Farmville,Pitt,9834
27376,West End,Moore,9802
28753,Marshall,Madison,9671
28166,Troutman,Iredell,9651
28778,Swannanoa,Buncombe,9584
27239,Denton,Davidson,9562
27045,Rural Hall,Forsyth,9552
28174,Wingate,Union,9496
27301,Mc Leansville,Guilford,9358
28466,Wallace,Duplin,9292
27542,Kenly,Johnston,9288
28320,Bladenboro,Bladen,9233
28730,Fairview,Buncombe,9221
28690,Valdese,Burke,9189
27017,Dobson,Surry,9144
28463,Tabor City,Columbus,9116
28904,Hayesville,Clay,8969
28518,Beulaville,Duplin,8912
27357,Stokesdale,Guilford,8901
28713,Bryson City,Swain,8799
28657,Newland,Avery,8651
27377,Whitsett,Guilford,8612
28383,Rowland,Robeson,8518
27983,Windsor,Bertie,8502
27371,Troy,Montgomery,8431
27048,Stoneville,Rockingham,8423
27316,Ramseur,Randolph,8369
28731,Flat Rock,Henderson,8368
28398,Warsaw,Duplin,8296
27822,Elm City,Wilson,8225
27557,Middlesex,Johnston,8205
27018,East Bend,Yadkin,8204
28422,Bolivia,Brunswick,8116
28771,Robbinsville,Graham,8069
28107,Midland,Cabarrus,8024
27569,Princeton,Johnston,7993
27882,Spring Hope,Nash,7972
28785,Waynesville,Haywood,7953
27041,Pilot Mountain,Surry,7951
27823,Enfield,Halifax,7950
27589,Warrenton,Warren,7938
27954,Manteo,Dare,7938
28080,Iron Station,Lincoln,7857
27325,Robbins,Moore,7836
28090,Lawndale,Cleveland,7820
28586,Vanceboro,Craven,7808
28694,West Jefferson,Ashe,7719
28127,New London,Stanly,7704
27962,Plymouth,Washington,7696
28719,Cherokee,Swain,7674
27949,Kitty Hawk,Dare,7648
27051,Walkertown,Forsyth,7641
27817,Chocowinity,Beaufort,7614
28479,Winnabow,Brunswick,7561
28128,Norwood,Stanly,7519
28768,Pisgah Forest,Transylvania,7504
28578,Seven Springs,Wayne,7504
28114,Mooresboro,Cleveland,7475
28040,Ellenboro,Rutherford,7441
28465,Oak Island,Brunswick,7432
28339,Erwin,Harnett,7432
27850,Littleton,Halifax,7410
27571,Rolesville,Wake,7407
27258,Haw River,Alamance,7370
27310,Oak Ridge,Guilford,7253
28382,Roseboro,Sampson,7252
28604,Banner Elk,Avery,7227
28204,Charlotte,Mecklenburg,7199
28445,Holly Ridge,Onslow,7196
28761,Nebo,Mcdowell,7194
27572,Rougemont,Durham,7081
27837,Grimesland,Pitt,7075
27583,Timberlake,Person,7073
28310,Fort Bragg,Cumberland,7066
28429,Castle Hayne,New Hanover,7058
28762,Old Fort,Mcdowell,7054
28431,Chadbourn,Columbus,7027
28371,Parkton,Robeson,6964
27505,Broadway,Lee,6943
27043,Pinnacle,Stokes,6917
28705,Bakersville,Mitchell,6870
28572,Pink Hill,Lenoir,6866
28782,Tryon,Polk,6852
28651,Millers Creek,Wilkes,6820
28458,Rose Hill,Duplin,6761
27313,Pleasant Garden,Guilford,6733
28675,Sparta,Alleghany,6707
28428,Carolina Beach,New Hanover,6611
27807,Bailey,Nash,6604
28530,Grifton,Pitt,6577
28073,Grover,Cleveland,6541
28722,Columbus,Polk,6537
27306,Mount Gilead,Montgomery,6428
27350,Sophia,Randolph,6412
27503,Bahama,Durham,6377
27521,Coats,Harnett,6366
28386,Shannon,Robeson,6258
28135,Polkton,Anson,6245
28673,Sherrills Ford,Catawba,6221
27020,Hamptonville,Yadkin,6205
27299,Linwood,Davidson,6172
28469,Ocean Isle Beach,Brunswick,6094
28097,Locust,Stanly,6078
27509,Butner,Granville,6070
27855,Murfreesboro,Hertford,6066
27605,Raleigh,Wake,5990
28124,Mount Pleasant,Cabarrus,5946
28544,Midway Park,Onslow,5917
28642,Jonesville,Yadkin,5881
28366,Newton Grove,Sampson,5868
28391,Stedman,Cumberland,5842
27349,Snow Camp,Alamance,5825
27013,Cleveland,Rowan,5814
28789,Whittier,Jackson,5779
28305,Fayetteville,Cumberland,5751
28678,Stony Point,Alexander,5676
28609,Catawba,Catawba,5615
28394,Vass,Moore,5547
27851,Lucama,Wilson,5458
28129,Oakboro,Stanly,5416
28163,Stanfield,Stanly,5275
27379,Yanceyville,Caswell,5246
28468,Sunset Beach,Brunswick,5235
28018,Bostic,Rutherford,5234
28433,Clarkton,Bladen,5228
27011,Boonville,Yadkin,5201
28543,Tarawa Terrace,Onslow,5180
27544,Kittrell,Vance,5131
28341,Faison,Duplin,5047
27891,Whitakers,Nash,5036
28640,Jefferson,Ashe,4985
28901,Andrews,Cherokee,4927
28636,Hiddenite,Alexander,4901
28634,Harmony,Iredell,4852
28356,Linden,Cumberland,4819
27341,Seagrove,Randolph,4810
28478,Willard,Pender,4757
27921,Camden,Camden,4750
27809,Battleboro,Edgecombe,4747
28338,Ellerbe,Richmond,4718
27864,Pinetops,Edgecombe,4652
27581,Stem,Granville,4612
28351,Laurel Hill,Scotland,4598
27209,Biscoe,Montgomery,4584
28555,Maysville,Jones,4571
27830,Fremont,Wayne,4547
27937,Gates,Gates,4448
27235,Colfax,Guilford,4443
28756,Mill Spring,Polk,4388
27243,Efland,Orange,4369
27871,Robersonville,Martin,4293
27563,Norlina,Warren,4270
28318,Autryville,Sampson,4250
27805,Aulander,Bertie,4243
28323,Bunnlevel,Harnett,4207
27027,Mayodan,Rockingham,4190
27976,South Mills,Camden,4129
27233,Climax,Guilford,4096
28420,Ash,Brunswick,4075
28692,Vilas,Watauga,4070
27810,Belhaven,Beaufort,4045
27925,Columbia,Tyrrell,4003
28585,Trenton,Jones,3958
